"Export for HP:0000252"
"Gene","Associated diseases"
"AP4S1 (11154)","SPASTIC PARAPLEGIA 52, AUTOSOMAL RECESSI... (OMIM:614067)"
"SLC35A3 (23443)","ARTHROGRYPOSIS, MENTAL RETARDATION, AND ... (OMIM:615553)"
"SEPSECS (51091)","PONTOCEREBELLAR HYPOPLASIA, TYPE 2D (OMIM:613811)"
"KMT2D (8085)","KABUKI SYNDROME 1 (OMIM:147920)"
"BCAP31 (10134)","DEAFNESS, DYSTONIA, AND CEREBRAL HYPOMYE... (OMIM:300475)"
"AAAS (8086)","ACHALASIA-ADDISONIANISM-ALACRIMA SYNDROM... (OMIM:231550)"
"EFNB1 (1947)","CRANIOFRONTONASAL SYNDROME (OMIM:304110)"
"BRF1 (2972)","CEREBELLOFACIODENTAL SYNDROME (OMIM:616202)"
"CFSS (100188773)","CRANIOFACIOSKELETAL SYNDROME (OMIM:300712)"
"EIF2B1 (1967)","LEUKOENCEPHALOPATHY WITH VANISHING WHITE... (OMIM:603896)"
"IER3IP1 (51124)","MICROCEPHALY, EPILEPSY, AND DIABETES SYN... (OMIM:614231)"
"PAFAH1B1 (5048)","LISSENCEPHALY 1 (OMIM:607432)"
"ENTPD1 (953)","SPASTIC PARAPLEGIA 64, AUTOSOMAL RECESSI... (OMIM:615683)"
"PAH (5053)","PHENYLKETONURIA (OMIM:261600)"
"MED25 (81857)","BASEL-VANAGAITE-SMIRIN-YOSEF SYNDROME (OMIM:616449), CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYP... (OMIM:605589)"
"ERCC6L2 (375748)","BONE MARROW FAILURE SYNDROME 2 (OMIM:615715)"
"EHMT1 (79813)","KLEEFSTRA SYNDROME (OMIM:610253)"
"CKAP2L (150468)","FILIPPI SYNDROME (OMIM:272440)"
"PAK3 (5063)","MENTAL RETARDATION, X-LINKED 30 (OMIM:300558)"
"SASS6 (163786)","MICROCEPHALY 14, PRIMARY, AUTOSOMAL RECE... (OMIM:616402)"
"LRP5 (4041)","ENDOSTEAL HYPEROSTOSIS, AUTOSOMAL DOMINA... (OMIM:144750), VAN BUCHEM DISEASE, TYPE 2 (OMIM:607636), OSTEOPOROSIS-PSEUDOGLIOMA SYNDROME (OMIM:259770), OSTEOPETROSIS, AUTOSOMAL DOMINANT 1 (OMIM:607634), EXUDATIVE VITREORETINOPATHY 4 (OMIM:601813)"
"WDR73 (84942)","GALLOWAY-MOWAT SYNDROME (OMIM:251300)"
"PARN (5073)","PULMONARY FIBROSIS AND/OR BONE MARROW FA... (OMIM:616371), DYSKERATOSIS CONGENITA, AUTOSOMAL RECESS... (OMIM:616353)"
"ALG3 (10195)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:601110)"
"PAX3 (5077)","CRANIOFACIAL-DEAFNESS-HAND SYNDROME (OMIM:122880), RHABDOMYOSARCOMA 2 (OMIM:268220), WAARDENBURG SYNDROME, TYPE 1 (OMIM:193500), WAARDENBURG SYNDROME, TYPE 3 (OMIM:148820)"
"LTC4S (4056)","LEUKOTRIENE C4 SYNTHASE DEFICIENCY (OMIM:614037)"
"AP4M1 (9179)","SPASTIC PARAPLEGIA 50, AUTOSOMAL RECESSI... (OMIM:612936)"
"CDC6 (990)","MEIER-GORLIN SYNDROME 5 (OMIM:613805)"
"NHEJ1 (79840)","CERNUNNOS-XLF DEFICIENCY (OMIM:611291)"
"SLC25A19 (60386)","THIAMINE METABOLISM DYSFUNCTION SYNDROME... (OMIM:613710), MICROCEPHALY, AMISH TYPE (OMIM:607196)"
"KAT6B (23522)","BLEPHAROPHIMOSIS-INTELLECTUAL DISABILITY... (OMIM:603736), GENITOPATELLAR SYNDROME (OMIM:606170)"
"VPS53 (55275)","PONTOCEREBELLAR HYPOPLASIA, TYPE 2E (OMIM:615851)"
"HCCS (3052)","MICROPHTHALMIA, SYNDROMIC 7 (OMIM:309801)"
"HCFC1 (3054)","METHYLMALONIC ACIDEMIA AND HOMOCYSTEINEM... (OMIM:309541)"
"EP300 (2033)","RUBINSTEIN-TAYBI SYNDROME 2 (OMIM:613684), COLORECTAL CANCER (OMIM:114500)"
"CD96 (10225)","C SYNDROME (OMIM:211750)"
"VPS13B (157680)","COHEN SYNDROME (OMIM:216550)"
"PCNA (5111)","ATAXIA-TELANGIECTASIA-LIKE DISORDER 2 (OMIM:615919)"
"ATP6V0A2 (23545)","CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE II... (OMIM:219200), WRINKLY SKIN SYNDROME (OMIM:278250)"
"SMAD4 (4089)","JUVENILE POLYPOSIS/HEREDITARY HEMORRHAGI... (OMIM:175050), MYHRE SYNDROME (OMIM:139210), PANCREATIC CANCER (OMIM:260350), JUVENILE POLYPOSIS SYNDROME (OMIM:174900)"
"TCTN2 (79867)","MECKEL SYNDROME, TYPE 8 (OMIM:613885)"
"CDK5 (1020)","LISSENCEPHALY 7 WITH CEREBELLAR HYPOPLAS... (OMIM:616342)"
"PCNT (5116)","MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL... (OMIM:210720)"
"CDK6 (1021)","MICROCEPHALY 12, PRIMARY, AUTOSOMAL RECE... (OMIM:616080)"
"ALG13 (79868)","CONGENITAL DISORDER OF GLYCOSYLATION, TY... (OMIM:300884)"
"NIN (51199)","SECKEL SYNDROME 7 (OMIM:614851)"
"CHMP1A (5119)","PONTOCEREBELLAR HYPOPLASIA, TYPE 8 (OMIM:614961)"
"Total",
